ts,phase,nvme_rd_mb_s,nvme_wr_mb_s,nvme_active_pct,cte_file_tier_gb,devshm_used_gb,clio_rss_gb,mem_avail_gb,nfs_rd_mb_s
1783979743,setup,0.01,0.00,0.2,0.000,0.024,0.000,37.355,0.02
1783979748,setup,0.00,0.00,0.0,0.000,0.024,0.000,37.379,0.00
1783979753,setup,0.00,0.00,0.0,0.000,0.024,0.000,37.380,0.00
1783979758,ingest,0.00,0.00,0.1,0.000,0.024,0.000,36.772,1.66
1783979763,ingest,0.13,0.00,12.4,0.000,0.024,0.000,36.063,0.00
1783979768,ingest,0.36,64.99,39.2,0.000,0.024,0.000,36.079,0.00
1783979773,ingest,0.37,337.51,57.9,0.000,0.024,0.000,35.972,0.00
1783979778,ingest,0.38,194.22,47.1,0.000,0.024,0.000,35.931,0.00
1783979783,ingest,0.21,472.43,55.7,0.000,0.024,0.000,35.261,0.00
1783979788,ingest,0.00,56.92,7.2,0.000,0.024,0.000,33.778,0.00
1783979793,ingest,0.00,0.00,0.0,0.000,0.024,0.000,32.445,0.00
1783979798,ingest,0.17,0.00,17.0,0.000,0.024,0.000,31.684,0.00
1783979803,ingest,0.38,0.00,36.5,0.000,0.024,0.000,31.678,0.00
1783979808,ingest,0.37,123.90,44.9,0.000,0.024,0.000,31.660,0.00
1783979813,ingest,0.19,161.96,28.8,0.000,0.024,0.000,30.946,0.00
1783979818,ingest,0.00,512.18,45.0,0.000,0.024,0.000,29.496,0.00
1783979823,ingest,0.00,80.07,7.1,0.000,0.024,0.000,28.063,0.00
1783979829,ingest,0.00,0.00,0.0,0.000,0.024,0.000,26.596,0.00
1783979834,ingest,0.00,0.00,0.0,0.000,0.024,0.000,25.060,0.00
1783979839,ingest,0.00,0.00,0.0,0.000,0.024,0.000,23.518,0.00
1783979844,ingest,0.00,0.00,0.0,0.000,0.024,0.000,22.019,0.00
1783979849,ingest,0.00,0.00,0.1,0.000,0.024,0.000,20.489,0.00
1783979854,ingest,0.00,0.00,0.0,0.000,0.024,0.000,18.974,0.00
1783979859,ingest,0.00,0.00,0.0,0.000,0.024,0.000,17.424,0.00
1783979864,ingest,0.00,0.00,0.0,0.000,0.024,0.000,15.903,0.00
1783979869,ingest,0.00,0.00,0.0,0.000,0.024,0.000,14.475,0.00
1783979874,ingest,0.24,0.00,22.9,0.000,0.024,0.000,13.916,0.00
1783979879,ingest,0.15,301.04,44.5,0.000,0.024,0.000,13.005,0.00
1783979884,ingest,0.00,0.00,0.0,0.000,0.024,0.000,11.606,0.00
1783979889,ingest,0.00,0.00,0.0,0.000,0.024,0.000,10.201,0.00
1783979894,ingest,0.00,0.00,0.0,0.000,0.024,0.000,8.775,0.00
1783979899,ingest,0.00,0.00,0.0,0.000,0.024,0.000,7.310,0.00
1783979904,ingest,0.22,139.76,31.0,0.000,0.024,0.000,6.852,0.00
1783979909,ingest,0.35,231.28,73.8,0.000,0.024,0.000,6.810,0.00
1783979914,ingest,0.33,254.03,50.3,0.000,0.024,0.000,6.830,0.00
1783979919,ingest,0.37,375.92,64.6,0.000,0.024,0.000,6.762,0.00
1783979924,ingest,0.39,272.94,56.2,0.000,0.024,0.000,6.786,0.00
1783979929,idle,5.22,49.20,21.8,0.000,0.024,0.000,7.124,0.01
1783979935,bench_chimod,122.51,127.99,24.2,0.000,0.024,0.000,6.869,3.34
1783979940,bench_chimod,954.65,0.00,90.6,0.000,0.024,0.000,6.866,0.00
1783979945,bench_chimod,138.84,0.00,12.9,0.000,0.024,0.000,6.847,0.00
1783979950,bench_chimod,782.32,0.00,77.0,0.000,0.024,0.000,6.823,0.00
