ts,phase,nvme_rd_mb_s,nvme_wr_mb_s,nvme_active_pct,cte_file_tier_gb,devshm_used_gb,clio_rss_gb,mem_avail_gb,nfs_rd_mb_s
1784480019,setup,0.01,0.00,0.3,0.000,0.013,0.000,43.434,0.02
1784480024,setup,0.00,0.00,0.1,0.000,0.013,0.000,43.433,0.00
1784480029,setup,0.00,0.00,0.0,0.000,0.013,0.000,43.430,0.00
1784480034,ingest,0.00,0.00,0.0,0.000,0.013,0.000,43.157,0.83
1784480039,ingest,0.00,106.14,10.2,0.000,0.013,0.000,43.132,0.00
1784480044,ingest,0.00,224.55,20.8,0.000,0.013,0.000,43.116,0.00
1784480049,ingest,0.00,160.82,14.3,0.000,0.013,0.000,43.132,0.00
1784480054,ingest,0.00,295.95,27.0,0.000,0.013,0.000,43.098,0.00
1784480059,ingest,0.00,291.84,27.4,0.000,0.013,0.000,43.094,0.00
1784480064,ingest,0.00,258.68,24.0,0.000,0.013,0.000,43.090,0.00
1784480069,ingest,0.00,48.87,4.4,0.000,0.013,0.000,43.089,0.00
1784480074,ingest,0.00,293.32,26.8,0.000,0.013,0.000,43.073,0.00
1784480079,ingest,0.00,286.22,28.6,0.000,0.013,0.000,43.066,0.00
1784480084,ingest,0.00,321.23,29.1,0.000,0.013,0.000,43.063,0.00
1784480089,ingest,0.00,18.22,4.4,0.000,0.013,0.000,43.022,0.00
1784480094,ingest,0.00,298.81,27.7,0.000,0.013,0.000,43.032,0.00
1784480099,ingest,0.00,253.72,24.3,0.000,0.013,0.000,43.038,0.00
1784480104,ingest,0.00,280.63,26.4,0.000,0.013,0.000,43.044,0.00
1784480110,ingest,0.00,212.10,21.0,0.000,0.013,0.000,43.003,0.00
1784480115,ingest,0.00,61.39,5.3,0.000,0.013,0.000,43.041,0.00
1784480120,ingest,0.00,244.88,32.0,0.000,0.013,0.000,43.026,0.00
1784480125,ingest,0.00,328.24,29.6,0.000,0.013,0.000,43.000,0.00
1784480130,ingest,0.00,322.67,29.9,0.000,0.013,0.000,43.025,0.00
1784480135,ingest,6.24,175.93,16.5,0.000,0.013,0.000,43.183,0.00
1784480140,bench_chimod,0.00,433.33,40.0,0.000,0.013,0.000,43.299,0.84
1784480145,bench_chimod,860.85,0.00,99.6,0.000,0.013,0.000,38.972,0.83
1784480150,bench_chimod,0.59,0.00,0.2,0.000,0.013,0.000,32.320,0.00
1784480155,bench_chimod,295.21,0.00,46.5,0.000,0.013,0.000,28.001,0.00
1784480160,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,22.480,0.00
1784480165,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,19.046,0.01
1784480170,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,19.046,0.00
1784480175,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,19.047,0.00
1784480180,bench_chimod,0.00,0.01,0.1,0.000,0.013,0.000,19.048,0.00
1784480185,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,19.047,0.00
1784480190,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,19.047,0.00
1784480195,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,19.049,0.00
1784480200,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,19.047,0.00
1784480205,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,19.049,0.00
1784480210,bench_chimod,0.00,0.00,0.1,0.000,0.013,0.000,19.049,0.00
1784480215,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,19.039,0.00
1784480220,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,19.041,0.00
1784480226,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,19.037,0.00
1784480231,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,19.039,0.00
1784480236,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,19.040,0.00
1784480241,bench_chimod,0.00,0.00,0.1,0.000,0.013,0.000,19.041,0.00
1784480246,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,19.035,0.00
