ts,phase,nvme_rd_mb_s,nvme_wr_mb_s,nvme_active_pct,cte_file_tier_gb,devshm_used_gb,clio_rss_gb,mem_avail_gb,nfs_rd_mb_s
1784043822,setup,0.00,0.00,0.1,0.000,0.009,0.000,39.682,0.01
1784043828,setup,0.00,0.00,0.2,0.000,0.009,0.000,39.636,0.00
1784043833,setup,0.00,0.00,0.0,0.000,0.009,0.000,39.634,0.00
1784043838,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.635,0.00
1784043843,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.531,0.82
1784043848,ingest,0.01,0.00,1.0,0.000,0.009,0.000,39.493,0.00
1784043853,ingest,0.02,10.54,2.7,0.000,0.009,0.000,39.425,0.00
1784043858,ingest,0.01,0.01,1.3,0.000,0.009,0.000,39.374,0.00
1784043863,ingest,0.01,0.00,1.2,0.000,0.009,0.000,39.342,0.00
1784043869,ingest,0.01,0.00,1.5,0.000,0.009,0.000,39.338,0.00
1784043874,ingest,0.01,0.00,1.3,0.000,0.009,0.000,39.321,0.00
1784043879,ingest,0.01,43.03,6.7,0.000,0.009,0.000,39.317,0.00
1784043884,ingest,0.01,17.72,3.1,0.000,0.009,0.000,39.317,0.00
1784043889,ingest,0.01,0.01,2.8,0.000,0.009,0.000,39.321,0.00
1784043894,ingest,0.02,0.00,1.6,0.000,0.009,0.000,39.333,0.00
1784043899,ingest,0.01,0.00,0.9,0.000,0.009,0.000,39.333,0.00
1784043905,ingest,0.01,0.00,1.2,0.000,0.009,0.000,39.311,0.00
1784043910,ingest,0.01,0.00,1.3,0.000,0.009,0.000,39.311,0.00
1784043915,ingest,0.01,61.45,7.4,0.000,0.009,0.000,39.306,0.00
1784043920,ingest,0.01,0.01,1.9,0.000,0.009,0.000,39.301,0.00
1784043925,ingest,0.01,0.00,1.4,0.000,0.009,0.000,39.300,0.00
1784043930,ingest,0.01,0.00,1.4,0.000,0.009,0.000,39.302,0.00
1784043936,ingest,0.01,0.00,1.2,0.000,0.009,0.000,39.302,0.00
1784043941,ingest,0.01,0.00,1.3,0.000,0.009,0.000,39.307,0.00
1784043946,ingest,0.01,63.04,7.3,0.000,0.009,0.000,39.297,0.00
1784043951,ingest,0.01,0.01,2.8,0.000,0.009,0.000,39.299,0.00
1784043956,ingest,0.01,0.00,1.5,0.000,0.009,0.000,39.303,0.00
1784043961,ingest,0.01,0.00,1.4,0.000,0.009,0.000,39.297,0.00
1784043966,ingest,0.01,0.00,1.2,0.000,0.009,0.000,39.300,0.00
1784043971,ingest,0.01,0.00,1.5,0.000,0.009,0.000,39.291,0.00
1784043977,ingest,0.01,63.52,8.3,0.000,0.009,0.000,39.288,0.00
1784043982,ingest,0.02,0.01,3.3,0.000,0.009,0.000,39.289,0.00
1784043987,ingest,0.01,0.00,1.4,0.000,0.009,0.000,39.289,0.00
1784043992,ingest,0.01,0.00,1.3,0.000,0.009,0.000,39.288,0.00
1784043997,ingest,0.01,0.00,1.1,0.000,0.009,0.000,39.286,0.00
1784044002,ingest,0.01,0.00,1.5,0.000,0.009,0.000,39.285,0.00
1784044007,ingest,0.01,64.43,7.8,0.000,0.009,0.000,39.289,0.00
1784044012,ingest,0.02,0.01,4.5,0.000,0.009,0.000,39.292,0.00
1784044018,ingest,0.01,0.00,1.4,0.000,0.009,0.000,39.291,0.00
1784044023,ingest,0.01,0.00,1.5,0.000,0.009,0.000,39.295,0.00
1784044028,ingest,0.01,0.00,1.2,0.000,0.009,0.000,39.291,0.00
1784044033,ingest,0.01,0.00,1.4,0.000,0.009,0.000,39.296,0.00
1784044038,ingest,0.01,63.81,8.9,0.000,0.009,0.000,39.299,0.00
1784044043,ingest,0.01,0.01,2.8,0.000,0.009,0.000,39.302,0.00
1784044048,ingest,0.01,0.00,1.4,0.000,0.009,0.000,39.301,0.00
1784044053,ingest,0.01,0.00,1.3,0.000,0.009,0.000,39.297,0.00
1784044059,ingest,0.01,0.00,1.2,0.000,0.009,0.000,39.306,0.00
1784044064,ingest,0.02,0.00,1.5,0.000,0.009,0.000,39.303,0.00
1784044069,ingest,0.01,63.94,7.4,0.000,0.009,0.000,39.295,0.00
1784044074,ingest,0.00,0.00,0.4,0.000,0.009,0.000,39.293,0.00
1784044079,ingest,0.01,0.00,0.8,0.000,0.009,0.000,39.293,0.00
1784044085,ingest,0.01,0.00,1.2,0.000,0.009,0.000,39.292,0.00
1784044090,ingest,0.01,0.00,1.3,0.000,0.009,0.000,39.290,0.00
1784044095,ingest,0.01,0.00,1.2,0.000,0.009,0.000,39.293,0.00
1784044100,ingest,0.01,46.73,7.4,0.000,0.009,0.000,39.291,0.00
1784044105,ingest,0.01,0.01,3.0,0.000,0.009,0.000,39.292,0.00
1784044111,ingest,0.01,0.00,1.2,0.000,0.009,0.000,39.288,0.00
1784044116,ingest,0.01,0.00,1.6,0.000,0.009,0.000,39.285,0.00
1784044121,ingest,0.01,0.00,1.3,0.000,0.009,0.000,39.284,0.00
1784044126,ingest,0.01,0.00,1.3,0.000,0.009,0.000,39.285,0.00
1784044131,ingest,0.01,62.15,8.6,0.000,0.009,0.000,39.285,0.00
1784044136,ingest,0.01,0.01,3.9,0.000,0.009,0.000,39.283,0.00
1784044142,ingest,0.01,0.00,1.6,0.000,0.009,0.000,39.288,0.00
1784044147,ingest,0.01,0.00,1.3,0.000,0.009,0.000,39.292,0.00
1784044152,ingest,0.01,0.00,1.5,0.000,0.009,0.000,39.320,0.00
1784044157,ingest,0.01,0.00,1.5,0.000,0.009,0.000,39.316,0.00
1784044162,ingest,0.01,0.00,1.3,0.000,0.009,0.000,39.313,0.00
1784044167,ingest,0.01,63.23,9.9,0.000,0.009,0.000,39.315,0.00
1784044172,ingest,0.01,0.00,1.5,0.000,0.009,0.000,39.308,0.00
1784044177,ingest,0.01,0.00,1.5,0.000,0.009,0.000,39.303,0.00
1784044183,ingest,0.01,0.00,1.5,0.000,0.009,0.000,39.304,0.00
1784044188,ingest,0.01,0.00,1.3,0.000,0.009,0.000,39.307,0.00
1784044193,ingest,0.01,0.00,1.4,0.000,0.009,0.000,39.313,0.00
1784044198,ingest,0.01,64.77,11.4,0.000,0.009,0.000,39.298,0.00
1784044203,ingest,0.02,0.00,1.7,0.000,0.009,0.000,39.305,0.00
1784044208,ingest,0.01,0.00,1.1,0.000,0.009,0.000,39.309,0.00
1784044213,ingest,0.01,0.00,1.3,0.000,0.009,0.000,39.307,0.00
1784044218,ingest,0.01,0.00,1.4,0.000,0.009,0.000,39.310,0.00
1784044223,ingest,0.01,0.00,1.5,0.000,0.009,0.000,39.309,0.00
1784044229,ingest,0.01,66.23,11.6,0.000,0.009,0.000,39.307,0.00
1784044234,ingest,0.01,0.00,1.2,0.000,0.009,0.000,39.307,0.00
1784044239,ingest,0.01,0.00,1.6,0.000,0.009,0.000,39.301,0.00
1784044244,ingest,0.01,0.00,1.2,0.000,0.009,0.000,39.303,0.00
1784044249,ingest,0.01,0.00,1.3,0.000,0.009,0.000,39.297,0.00
1784044254,ingest,0.01,0.00,1.4,0.000,0.009,0.000,39.302,0.00
1784044259,ingest,0.01,61.60,10.4,0.000,0.009,0.000,39.296,0.00
1784044265,ingest,0.01,0.00,1.2,0.000,0.009,0.000,39.293,0.00
1784044270,ingest,0.01,0.00,1.4,0.000,0.009,0.000,39.297,0.00
1784044275,ingest,0.01,0.00,1.0,0.000,0.009,0.000,39.282,0.00
1784044280,ingest,0.01,0.00,1.5,0.000,0.009,0.000,39.276,0.00
1784044285,ingest,0.01,0.00,1.0,0.000,0.009,0.000,39.277,0.00
1784044290,ingest,0.01,67.24,15.6,0.000,0.009,0.000,39.279,0.00
1784044295,ingest,0.01,0.00,1.4,0.000,0.009,0.000,39.306,0.00
1784044300,ingest,0.01,0.00,1.4,0.000,0.009,0.000,39.304,0.00
1784044306,ingest,0.01,0.00,1.2,0.000,0.009,0.000,39.286,0.00
1784044311,ingest,0.01,0.00,1.2,0.000,0.009,0.000,39.276,0.00
1784044316,ingest,0.01,0.00,0.9,0.000,0.009,0.000,39.281,0.00
1784044321,ingest,0.01,61.21,8.0,0.000,0.009,0.000,39.285,0.00
1784044326,ingest,0.01,0.00,1.3,0.000,0.009,0.000,39.274,0.00
1784044331,ingest,0.02,0.00,1.8,0.000,0.009,0.000,39.311,0.00
1784044337,ingest,0.01,0.00,1.6,0.000,0.009,0.000,39.307,0.00
1784044342,ingest,0.01,0.00,1.1,0.000,0.009,0.000,39.300,0.00
1784044347,ingest,0.01,0.00,1.2,0.000,0.009,0.000,39.296,0.00
1784044352,ingest,0.00,63.59,7.3,0.000,0.009,0.000,39.270,0.00
1784044357,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.274,0.00
1784044362,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.273,0.00
1784044367,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.274,0.00
1784044372,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.270,0.00
1784044377,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.306,0.00
1784044383,ingest,0.00,65.96,6.9,0.000,0.009,0.000,39.301,0.00
1784044388,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.295,0.00
1784044393,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.298,0.00
1784044398,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.296,0.00
1784044403,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.296,0.00
1784044408,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.291,0.00
1784044413,ingest,0.00,0.00,1.3,0.000,0.009,0.000,39.292,0.00
1784044418,ingest,0.00,64.55,7.4,0.000,0.009,0.000,39.288,0.00
1784044423,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.271,0.00
1784044429,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.263,0.00
1784044434,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.265,0.00
1784044439,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.267,0.00
1784044444,ingest,0.00,0.00,0.1,0.000,0.009,0.000,39.297,0.00
1784044449,ingest,0.00,64.54,7.0,0.000,0.009,0.000,39.289,0.00
1784044454,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.290,0.00
1784044460,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.292,0.00
1784044465,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.282,0.00
1784044470,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.283,0.00
1784044475,ingest,0.00,0.00,0.1,0.000,0.009,0.000,39.274,0.00
1784044480,ingest,0.00,59.59,5.9,0.000,0.009,0.000,39.274,0.00
1784044485,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.281,0.00
1784044491,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.275,0.00
1784044496,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.281,0.00
1784044501,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.278,0.00
1784044506,ingest,0.00,0.00,0.1,0.000,0.009,0.000,39.274,0.00
1784044511,ingest,0.00,67.40,7.7,0.000,0.009,0.000,39.260,0.00
1784044516,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.264,0.00
1784044521,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.261,0.00
1784044527,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.255,0.00
1784044532,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.259,0.00
1784044537,ingest,0.00,0.00,0.1,0.000,0.009,0.000,39.274,0.00
1784044542,ingest,0.00,70.77,7.4,0.000,0.009,0.000,39.275,0.00
1784044547,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.279,0.00
1784044552,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.265,0.00
1784044557,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.276,0.00
1784044563,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.272,0.00
1784044568,ingest,0.00,0.00,0.1,0.000,0.009,0.000,39.281,0.00
1784044573,ingest,0.00,69.12,7.7,0.000,0.009,0.000,39.273,0.00
1784044578,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.283,0.00
1784044583,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.274,0.00
1784044588,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.284,0.00
1784044593,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.282,0.00
1784044598,ingest,0.00,0.00,0.1,0.000,0.009,0.000,39.274,0.00
1784044603,ingest,0.00,72.65,7.5,0.000,0.009,0.000,39.269,0.00
1784044609,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.275,0.00
1784044614,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.278,0.00
1784044619,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.276,0.00
1784044624,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.277,0.00
1784044629,ingest,0.00,0.00,1.5,0.000,0.009,0.000,39.278,0.00
1784044635,ingest,0.00,67.05,7.4,0.000,0.009,0.000,39.275,0.00
1784044640,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.273,0.00
1784044645,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.273,0.00
1784044650,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.259,0.00
1784044655,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.263,0.00
1784044660,ingest,0.00,0.00,0.2,0.000,0.009,0.000,39.261,0.00
1784044665,ingest,0.00,70.68,7.2,0.000,0.009,0.000,39.265,0.00
1784044670,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.285,0.00
1784044676,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.290,0.00
1784044681,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.292,0.00
1784044686,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.285,0.00
1784044691,ingest,0.00,0.00,3.1,0.000,0.009,0.000,39.278,0.00
1784044696,ingest,0.00,71.44,7.9,0.000,0.009,0.000,39.280,0.00
1784044701,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.281,0.00
1784044706,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.284,0.00
1784044711,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.282,0.00
1784044717,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.286,0.00
1784044722,ingest,0.00,0.00,0.1,0.000,0.009,0.000,39.289,0.00
1784044727,ingest,0.00,68.88,7.6,0.000,0.009,0.000,39.286,0.00
1784044732,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.288,0.00
1784044737,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.290,0.00
1784044742,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.277,0.00
1784044747,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.274,0.00
1784044753,ingest,0.00,0.00,0.1,0.000,0.009,0.000,39.274,0.00
1784044758,ingest,0.00,68.30,7.8,0.000,0.009,0.000,39.274,0.00
1784044763,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.272,0.00
1784044768,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.276,0.00
1784044773,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.257,0.00
1784044778,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.256,0.00
1784044783,ingest,0.00,0.00,0.1,0.000,0.009,0.000,39.254,0.00
1784044788,ingest,0.00,70.24,7.3,0.000,0.009,0.000,39.252,0.00
1784044793,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.249,0.00
1784044799,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.239,0.00
1784044804,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.240,0.00
1784044809,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.240,0.00
1784044814,ingest,0.00,0.00,0.1,0.000,0.009,0.000,39.283,0.00
1784044819,ingest,0.00,28.36,3.9,0.000,0.009,0.000,39.274,0.00
1784044824,ingest,0.00,43.41,4.7,0.000,0.009,0.000,39.269,0.00
1784044829,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.258,0.00
1784044834,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.257,0.00
1784044839,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.253,0.00
1784044845,ingest,0.00,0.00,0.1,0.000,0.009,0.000,39.252,0.00
1784044850,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.255,0.00
1784044855,ingest,0.00,76.22,7.8,0.000,0.009,0.000,39.254,0.00
1784044860,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.255,0.00
1784044865,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.256,0.00
1784044870,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.258,0.00
1784044875,ingest,0.00,0.00,0.2,0.000,0.009,0.000,39.255,0.00
1784044880,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.257,0.00
1784044885,ingest,0.00,71.73,7.9,0.000,0.009,0.000,39.253,0.00
1784044891,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.289,0.00
1784044896,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.265,0.00
1784044901,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.269,0.00
1784044906,ingest,0.00,0.00,0.2,0.000,0.009,0.000,39.263,0.00
1784044911,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.255,0.00
1784044916,ingest,0.00,72.82,7.7,0.000,0.009,0.000,39.259,0.00
1784044921,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.259,0.00
1784044926,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.258,0.00
1784044931,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.251,0.00
1784044937,ingest,0.00,0.00,0.1,0.000,0.009,0.000,39.249,0.00
1784044942,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.250,0.00
1784044947,ingest,0.00,72.81,8.0,0.000,0.009,0.000,39.255,0.00
1784044952,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.258,0.00
1784044957,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.249,0.00
1784044962,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.252,0.00
1784044967,ingest,0.00,0.00,0.1,0.000,0.009,0.000,39.256,0.00
1784044972,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.257,0.00
1784044977,ingest,0.00,70.86,7.4,0.000,0.009,0.000,39.249,0.00
1784044983,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.244,0.00
1784044988,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.235,0.00
1784044993,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.237,0.00
1784044998,ingest,0.00,0.00,0.1,0.000,0.009,0.000,39.247,0.00
1784045003,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.227,0.00
1784045008,ingest,0.00,69.53,7.8,0.000,0.009,0.000,39.231,0.00
1784045013,ingest,0.00,0.00,0.0,0.000,0.009,0.000,39.230,0.00
