ts,phase,nvme_rd_mb_s,nvme_wr_mb_s,nvme_active_pct,cte_file_tier_gb,devshm_used_gb,clio_rss_gb,mem_avail_gb,nfs_rd_mb_s
1784046177,setup,0.00,0.00,0.1,0.000,0.009,0.000,39.710,0.02
1784046182,setup,0.00,0.00,0.0,0.000,0.009,0.000,39.670,0.00
1784046187,setup,0.00,0.00,0.0,0.000,0.009,0.000,39.671,0.00
1784046192,ingest,0.00,0.00,0.1,0.000,0.009,0.000,39.664,1.65
1784046197,ingest,0.02,0.00,1.3,0.000,0.009,0.000,39.580,0.00
1784046203,ingest,0.00,11.95,2.3,0.000,0.009,0.000,39.474,0.00
1784046208,ingest,0.01,0.00,1.3,0.000,0.009,0.000,39.408,0.00
1784046213,ingest,0.01,0.00,1.5,0.000,0.009,0.000,39.364,0.00
1784046218,ingest,0.01,0.00,1.5,0.000,0.009,0.000,39.367,0.00
1784046223,ingest,0.02,37.03,6.0,0.000,0.009,0.000,39.367,0.00
1784046228,ingest,0.02,0.01,3.4,0.000,0.009,0.000,39.369,0.00
1784046233,ingest,0.02,0.00,1.8,0.000,0.009,0.000,39.364,0.00
1784046238,ingest,0.02,0.00,1.7,0.000,0.009,0.000,39.363,0.00
1784046243,ingest,0.01,0.00,1.5,0.000,0.009,0.000,39.362,0.00
1784046249,ingest,0.02,0.00,1.9,0.000,0.009,0.000,39.361,0.00
1784046254,ingest,0.02,78.46,9.9,0.000,0.009,0.000,39.334,0.00
1784046259,ingest,0.02,0.00,3.2,0.000,0.009,0.000,39.331,0.00
1784046264,ingest,0.02,0.00,1.9,0.000,0.009,0.000,39.330,0.00
1784046269,ingest,0.02,0.00,1.6,0.000,0.009,0.000,39.331,0.00
1784046274,ingest,0.01,0.00,1.4,0.000,0.009,0.000,39.327,0.00
1784046279,ingest,0.01,0.00,1.4,0.000,0.009,0.000,39.328,0.00
1784046284,ingest,0.02,76.40,11.4,0.000,0.009,0.000,39.328,0.00
1784046290,ingest,0.01,0.00,3.2,0.000,0.009,0.000,39.324,0.00
1784046295,ingest,0.02,0.00,1.6,0.000,0.009,0.000,39.326,0.00
1784046300,ingest,0.02,0.00,1.7,0.000,0.009,0.000,39.328,0.00
1784046305,ingest,0.01,0.00,1.4,0.000,0.009,0.000,39.323,0.00
1784046310,ingest,0.02,0.00,1.9,0.000,0.009,0.000,39.329,0.00
1784046315,ingest,0.02,78.88,12.1,0.000,0.009,0.000,39.324,0.00
1784046321,ingest,0.02,0.00,1.6,0.000,0.009,0.000,39.321,0.00
1784046326,ingest,0.01,0.00,1.4,0.000,0.009,0.000,39.315,0.00
1784046331,ingest,0.01,0.00,1.5,0.000,0.009,0.000,39.310,0.00
1784046336,ingest,0.02,0.00,1.6,0.000,0.009,0.000,39.309,0.00
