ts,phase,nvme_rd_mb_s,nvme_wr_mb_s,nvme_active_pct,cte_file_tier_gb,devshm_used_gb,clio_rss_gb,mem_avail_gb,nfs_rd_mb_s
1784477067,bench_mmap,0.00,0.00,0.0,0.000,0.017,0.000,44.750,0.44
1784477072,bench_mmap,0.00,0.00,0.1,0.000,0.017,0.000,44.751,0.00
1784477077,bench_mmap,0.00,0.00,0.0,0.000,0.017,0.000,44.728,0.00
1784477083,bench_mmap,0.00,0.00,0.0,0.000,0.017,0.000,44.720,0.00
1784477088,bench_mmap,0.01,0.00,0.2,0.000,0.017,0.000,44.699,0.01
1784477093,bench_mmap,0.00,0.00,0.0,0.000,0.017,0.000,44.658,0.01
1784477098,bench_mmap,0.00,0.00,0.1,0.000,0.017,0.000,44.657,0.00
1784477103,bench_mmap,0.00,0.00,0.0,0.000,0.017,0.000,44.657,0.00
1784477108,ingest,0.00,0.00,0.0,0.000,0.017,0.000,41.391,0.42
1784477113,bench_chimod,0.00,0.00,0.0,0.000,0.017,0.000,39.258,0.84
1784477118,bench_chimod,0.00,16.31,1.8,0.000,0.017,0.000,34.901,0.01
